date,region,latitude,longitude,pm25_ugm3,pm10_ugm3,no2_ugm3,so2_ugm3,o3_ugm3,aqi,aqi_category
2020-03-02,Nairobi,-1.2921,36.8219,29.8,33.1,12.1,8.3,97.5,88.0,Moderate
2020-03-03,Nairobi,-1.2921,36.8219,20.7,26.6,10.1,10.1,127.0,69.0,Moderate
2020-03-04,Nairobi,-1.2921,36.8219,14.2,37.0,18.4,4.6,92.1,55.0,Moderate
2020-03-05,Nairobi,-1.2921,36.8219,30.2,39.6,13.2,3.9,86.7,89.0,Moderate
2020-03-06,Nairobi,-1.2921,36.8219,19.3,37.3,13.5,5.3,81.1,66.0,Moderate
2020-03-07,Nairobi,-1.2921,36.8219,25.8,38.5,13.6,4.5,75.6,80.0,Moderate
2020-03-08,Nairobi,-1.2921,36.8219,18.4,31.6,24.9,7.1,82.0,64.0,Moderate
2020-03-09,Nairobi,-1.2921,36.8219,23.9,36.1,22.3,6.4,70.1,76.0,Moderate
2020-03-10,Nairobi,-1.2921,36.8219,18.2,24.6,15.3,8.5,75.0,64.0,Moderate
2020-03-11,Nairobi,-1.2921,36.8219,22.7,36.6,11.3,9.7,62.7,73.0,Moderate
2020-03-12,Nairobi,-1.2921,36.8219,15.4,43.4,13.9,7.4,105.0,58.0,Moderate
2020-03-13,Nairobi,-1.2921,36.8219,20.9,29.9,10.5,9.4,101.7,69.0,Moderate
2020-03-14,Nairobi,-1.2921,36.8219,19.7,42.3,14.3,5.7,72.7,67.0,Moderate
2020-03-15,Nairobi,-1.2921,36.8219,16.3,43.0,20.7,9.2,44.4,60.0,Moderate
2020-03-16,Nairobi,-1.2921,36.8219,27.4,28.9,11.9,7.0,80.6,83.0,Moderate
2020-03-17,Nairobi,-1.2921,36.8219,22.2,40.7,17.6,8.1,74.4,72.0,Moderate
2020-03-18,Nairobi,-1.2921,36.8219,15.6,35.0,17.6,5.7,64.2,58.0,Moderate
2020-03-19,Nairobi,-1.2921,36.8219,23.9,28.6,9.2,5.2,87.7,76.0,Moderate
2020-03-20,Nairobi,-1.2921,36.8219,27.9,40.1,5.6,7.7,92.2,84.0,Moderate
2020-03-21,Nairobi,-1.2921,36.8219,12.6,45.0,6.0,9.8,74.7,52.0,Moderate
2020-03-22,Nairobi,-1.2921,36.8219,21.1,32.7,10.6,9.6,76.6,70.0,Moderate
2020-03-23,Nairobi,-1.2921,36.8219,22.9,26.8,13.8,9.7,69.2,74.0,Moderate
2020-03-24,Nairobi,-1.2921,36.8219,25.9,34.4,24.9,7.5,84.1,80.0,Moderate
2020-03-25,Nairobi,-1.2921,36.8219,18.9,32.0,17.8,12.9,101.5,65.0,Moderate
2020-03-26,Nairobi,-1.2921,36.8219,23.9,23.9,13.2,9.8,68.1,76.0,Moderate
2020-03-27,Nairobi,-1.2921,36.8219,19.9,33.3,24.1,7.5,56.4,67.0,Moderate
2020-03-28,Nairobi,-1.2921,36.8219,23.9,40.4,26.4,6.7,59.4,76.0,Moderate
2020-03-29,Nairobi,-1.2921,36.8219,21.8,36.2,17.9,6.8,86.4,71.0,Moderate
2020-03-30,Nairobi,-1.2921,36.8219,20.5,27.5,9.5,7.0,79.0,69.0,Moderate
2020-03-31,Nairobi,-1.2921,36.8219,23.4,31.7,12.4,9.6,78.9,75.0,Moderate
2020-04-01,Nairobi,-1.2921,36.8219,16.5,34.7,18.3,7.7,104.7,60.0,Moderate
2020-04-02,Nairobi,-1.2921,36.8219,26.2,36.2,13.2,2.5,61.8,81.0,Moderate
2020-04-03,Nairobi,-1.2921,36.8219,24.5,24.6,17.1,5.3,77.3,77.0,Moderate
2020-04-04,Nairobi,-1.2921,36.8219,17.6,38.7,19.5,3.1,100.2,63.0,Moderate
2020-04-05,Nairobi,-1.2921,36.8219,18.7,40.7,21.6,6.3,104.3,65.0,Moderate
2020-04-06,Nairobi,-1.2921,36.8219,11.1,23.7,12.9,4.9,58.3,46.0,Good
2020-04-07,Nairobi,-1.2921,36.8219,25.1,28.4,15.4,10.0,96.4,78.0,Moderate
2020-04-08,Nairobi,-1.2921,36.8219,27.8,27.8,22.7,8.5,82.5,84.0,Moderate
2020-04-09,Nairobi,-1.2921,36.8219,18.6,34.5,22.7,10.0,96.5,65.0,Moderate
2020-04-10,Nairobi,-1.2921,36.8219,15.6,28.5,15.4,9.5,85.2,58.0,Moderate
2020-04-11,Nairobi,-1.2921,36.8219,29.0,29.0,17.3,9.5,74.0,87.0,Moderate
2020-04-12,Nairobi,-1.2921,36.8219,19.7,26.7,16.5,4.0,105.4,67.0,Moderate
2020-04-13,Nairobi,-1.2921,36.8219,18.8,26.3,6.3,6.9,76.4,65.0,Moderate
2020-04-14,Nairobi,-1.2921,36.8219,21.5,30.3,29.5,4.2,89.2,71.0,Moderate
2020-04-15,Nairobi,-1.2921,36.8219,22.0,22.0,13.4,15.0,72.2,72.0,Moderate
2020-04-16,Nairobi,-1.2921,36.8219,30.1,31.1,15.2,6.9,65.1,89.0,Moderate
2020-04-17,Nairobi,-1.2921,36.8219,13.9,27.1,18.8,9.6,74.4,55.0,Moderate
2020-04-18,Nairobi,-1.2921,36.8219,29.4,29.4,17.3,4.1,84.5,87.0,Moderate
2020-04-19,Nairobi,-1.2921,36.8219,22.6,30.4,15.2,6.6,94.0,73.0,Moderate
2020-04-20,Nairobi,-1.2921,36.8219,24.4,35.5,18.5,9.7,73.8,77.0,Moderate
2020-04-21,Nairobi,-1.2921,36.8219,21.8,38.0,14.0,9.7,60.2,71.0,Moderate
2020-04-22,Nairobi,-1.2921,36.8219,14.1,32.7,13.4,11.3,77.2,55.0,Moderate
2020-04-23,Nairobi,-1.2921,36.8219,25.7,31.8,16.8,6.7,78.2,80.0,Moderate
2020-04-24,Nairobi,-1.2921,36.8219,16.3,23.5,19.7,11.2,94.0,60.0,Moderate
2020-04-25,Nairobi,-1.2921,36.8219,25.5,33.7,12.8,5.9,53.7,79.0,Moderate
2020-04-26,Nairobi,-1.2921,36.8219,22.7,33.0,16.9,9.8,100.8,73.0,Moderate
2020-04-27,Nairobi,-1.2921,36.8219,18.4,35.8,12.5,2.9,77.3,64.0,Moderate
2020-04-28,Nairobi,-1.2921,36.8219,27.3,30.5,10.6,9.2,93.3,83.0,Moderate
2020-04-29,Nairobi,-1.2921,36.8219,22.6,42.8,10.3,12.2,49.2,73.0,Moderate
2020-04-30,Nairobi,-1.2921,36.8219,9.8,20.3,17.4,3.5,70.4,41.0,Good
2020-05-01,Nairobi,-1.2921,36.8219,17.9,38.0,21.4,10.7,58.5,63.0,Moderate
2020-05-02,Nairobi,-1.2921,36.8219,20.9,29.0,14.2,7.8,73.0,69.0,Moderate
2020-05-03,Nairobi,-1.2921,36.8219,16.4,28.4,11.5,11.0,79.0,60.0,Moderate
2020-05-04,Nairobi,-1.2921,36.8219,25.1,40.7,21.9,4.2,83.9,78.0,Moderate
2020-05-05,Nairobi,-1.2921,36.8219,13.8,46.7,17.9,6.6,75.3,55.0,Moderate
2020-05-06,Nairobi,-1.2921,36.8219,24.2,29.1,8.2,9.3,98.5,76.0,Moderate
2020-05-07,Nairobi,-1.2921,36.8219,19.6,38.0,12.0,8.4,81.5,67.0,Moderate
2020-05-08,Nairobi,-1.2921,36.8219,18.2,24.4,11.4,5.9,73.1,64.0,Moderate
2020-05-09,Nairobi,-1.2921,36.8219,19.3,33.2,15.7,7.7,80.2,66.0,Moderate
2020-05-10,Nairobi,-1.2921,36.8219,15.7,33.5,7.2,5.0,64.4,59.0,Moderate
2020-05-11,Nairobi,-1.2921,36.8219,17.1,34.3,15.9,8.8,92.1,62.0,Moderate
2020-05-12,Nairobi,-1.2921,36.8219,20.9,23.9,15.1,5.2,75.0,70.0,Moderate
2020-05-13,Nairobi,-1.2921,36.8219,22.0,30.6,18.2,8.0,57.3,72.0,Moderate
2020-05-14,Nairobi,-1.2921,36.8219,18.0,37.1,17.3,4.8,73.1,63.0,Moderate
2020-05-15,Nairobi,-1.2921,36.8219,21.0,27.8,13.3,8.7,107.5,70.0,Moderate
2020-05-16,Nairobi,-1.2921,36.8219,21.5,37.5,10.6,4.3,66.9,71.0,Moderate
2020-05-17,Nairobi,-1.2921,36.8219,19.1,33.8,17.4,10.7,98.9,66.0,Moderate
2020-05-18,Nairobi,-1.2921,36.8219,9.6,24.2,23.3,9.0,78.4,40.0,Good
2020-05-19,Nairobi,-1.2921,36.8219,8.9,21.6,19.4,6.6,88.2,37.0,Good
2020-05-20,Nairobi,-1.2921,36.8219,18.0,49.5,14.8,3.5,88.7,63.0,Moderate
2020-05-21,Nairobi,-1.2921,36.8219,20.4,27.0,16.0,11.1,76.4,68.0,Moderate
2020-05-22,Nairobi,-1.2921,36.8219,15.2,33.7,11.8,9.0,99.0,58.0,Moderate
2020-05-23,Nairobi,-1.2921,36.8219,14.3,17.2,26.5,8.4,61.3,56.0,Moderate
2020-05-24,Nairobi,-1.2921,36.8219,15.0,28.2,16.5,1.0,90.5,57.0,Moderate
2020-05-25,Nairobi,-1.2921,36.8219,16.6,43.9,16.9,10.7,76.5,60.0,Moderate
2020-05-26,Nairobi,-1.2921,36.8219,21.2,43.1,10.7,9.3,88.0,70.0,Moderate
2020-05-27,Nairobi,-1.2921,36.8219,26.8,26.9,10.8,11.6,76.6,82.0,Moderate
2020-05-28,Nairobi,-1.2921,36.8219,15.5,28.0,8.1,7.9,36.8,58.0,Moderate
2020-05-29,Nairobi,-1.2921,36.8219,21.3,21.3,21.3,5.9,67.6,70.0,Moderate
2020-05-30,Nairobi,-1.2921,36.8219,20.2,35.1,15.2,3.1,81.8,68.0,Moderate
2020-05-31,Nairobi,-1.2921,36.8219,19.6,31.1,17.9,5.7,63.0,67.0,Moderate
2020-06-01,Nairobi,-1.2921,36.8219,35.6,36.4,16.4,4.4,101.0,101.0,Unhealthy for Sensitive Groups
2020-06-02,Nairobi,-1.2921,36.8219,25.2,40.5,26.6,11.8,67.9,79.0,Moderate
2020-06-03,Nairobi,-1.2921,36.8219,26.3,44.6,16.8,8.9,74.0,81.0,Moderate
2020-06-04,Nairobi,-1.2921,36.8219,41.1,45.7,5.5,16.0,93.7,115.0,Unhealthy for Sensitive Groups
2020-06-05,Nairobi,-1.2921,36.8219,31.5,53.7,15.6,3.1,79.7,92.0,Moderate
2020-06-06,Nairobi,-1.2921,36.8219,34.7,55.1,5.0,8.6,87.0,98.0,Moderate
2020-06-07,Nairobi,-1.2921,36.8219,32.2,42.3,21.6,7.9,76.8,93.0,Moderate
2020-06-08,Nairobi,-1.2921,36.8219,31.7,40.3,24.8,11.4,69.6,92.0,Moderate
2020-06-09,Nairobi,-1.2921,36.8219,22.9,56.2,18.7,8.2,75.0,74.0,Moderate
2020-06-10,Nairobi,-1.2921,36.8219,24.2,56.8,6.6,8.8,90.9,76.0,Moderate
2020-06-11,Nairobi,-1.2921,36.8219,31.0,50.0,5.0,5.2,72.8,91.0,Moderate
2020-06-12,Nairobi,-1.2921,36.8219,24.4,62.3,11.1,6.6,106.8,77.0,Moderate
2020-06-13,Nairobi,-1.2921,36.8219,37.6,66.1,21.4,10.1,68.0,106.0,Unhealthy for Sensitive Groups
2020-06-14,Nairobi,-1.2921,36.8219,25.1,58.4,12.3,1.0,86.6,78.0,Moderate
2020-06-15,Nairobi,-1.2921,36.8219,33.7,41.6,22.0,5.4,113.4,96.0,Moderate
2020-06-16,Nairobi,-1.2921,36.8219,39.1,60.1,12.0,8.5,84.0,110.0,Unhealthy for Sensitive Groups
2020-06-17,Nairobi,-1.2921,36.8219,31.0,52.1,23.7,5.9,86.9,91.0,Moderate
2020-06-18,Nairobi,-1.2921,36.8219,29.7,39.4,20.3,9.2,94.8,88.0,Moderate
2020-06-19,Nairobi,-1.2921,36.8219,27.7,47.0,17.0,10.3,97.9,84.0,Moderate
2020-06-20,Nairobi,-1.2921,36.8219,32.0,56.0,23.9,6.9,84.2,93.0,Moderate
2020-06-21,Nairobi,-1.2921,36.8219,31.8,53.7,21.9,6.2,67.4,92.0,Moderate
2020-06-22,Nairobi,-1.2921,36.8219,36.9,64.1,7.7,7.0,84.7,104.0,Unhealthy for Sensitive Groups
2020-06-23,Nairobi,-1.2921,36.8219,32.7,53.1,15.3,5.8,41.6,94.0,Moderate
2020-06-24,Nairobi,-1.2921,36.8219,32.4,50.2,7.5,6.0,93.4,94.0,Moderate
2020-06-25,Nairobi,-1.2921,36.8219,31.5,53.5,9.6,9.8,113.4,92.0,Moderate
2020-06-26,Nairobi,-1.2921,36.8219,35.1,55.5,16.3,6.0,94.4,99.0,Moderate
2020-06-27,Nairobi,-1.2921,36.8219,31.9,65.8,23.9,6.4,91.5,93.0,Moderate
2020-06-28,Nairobi,-1.2921,36.8219,29.6,61.3,10.6,8.7,87.8,88.0,Moderate
2020-06-29,Nairobi,-1.2921,36.8219,36.4,43.8,17.3,8.6,63.0,103.0,Unhealthy for Sensitive Groups
2020-06-30,Nairobi,-1.2921,36.8219,38.3,64.9,15.3,7.6,74.5,108.0,Unhealthy for Sensitive Groups
2020-07-01,Nairobi,-1.2921,36.8219,45.2,59.5,11.4,3.2,73.6,125.0,Unhealthy for Sensitive Groups
2020-07-02,Nairobi,-1.2921,36.8219,30.4,54.0,15.2,11.4,39.4,500.0,Hazardous
2020-07-03,Nairobi,-1.2921,36.8219,35.2,59.2,6.0,5.4,72.7,100.0,Moderate
2020-07-04,Nairobi,-1.2921,36.8219,35.0,48.7,14.8,5.6,81.0,99.0,Moderate
2020-07-05,Nairobi,-1.2921,36.8219,29.3,45.0,15.7,10.6,83.9,87.0,Moderate
2020-07-06,Nairobi,-1.2921,36.8219,31.4,60.1,12.7,7.8,97.6,92.0,Moderate
2020-07-07,Nairobi,-1.2921,36.8219,30.3,47.7,18.7,5.0,98.0,89.0,Moderate
2020-07-08,Nairobi,-1.2921,36.8219,22.8,52.6,11.7,9.0,102.0,74.0,Moderate
2020-07-09,Nairobi,-1.2921,36.8219,26.7,40.8,20.8,7.3,78.8,82.0,Moderate
2020-07-10,Nairobi,-1.2921,36.8219,31.2,49.1,10.4,7.3,67.4,91.0,Moderate
2020-07-11,Nairobi,-1.2921,36.8219,37.5,47.6,21.6,10.0,65.0,106.0,Unhealthy for Sensitive Groups
2020-07-12,Nairobi,-1.2921,36.8219,27.2,50.2,11.3,5.8,92.6,83.0,Moderate
2020-07-13,Nairobi,-1.2921,36.8219,33.9,61.8,9.6,2.5,69.0,97.0,Moderate
2020-07-14,Nairobi,-1.2921,36.8219,37.9,47.0,23.2,6.4,88.8,107.0,Unhealthy for Sensitive Groups
2020-07-15,Nairobi,-1.2921,36.8219,32.4,36.3,11.7,9.4,79.3,94.0,Moderate
2020-07-16,Nairobi,-1.2921,36.8219,30.3,50.7,15.8,1.0,71.6,89.0,Moderate
2020-07-17,Nairobi,-1.2921,36.8219,28.5,57.5,18.8,8.5,81.7,85.0,Moderate
2020-07-18,Nairobi,-1.2921,36.8219,22.4,44.7,13.2,7.7,79.9,73.0,Moderate
2020-07-19,Nairobi,-1.2921,36.8219,22.8,59.8,9.9,1.2,91.8,73.0,Moderate
2020-07-20,Nairobi,-1.2921,36.8219,27.9,57.5,6.3,6.8,65.5,84.0,Moderate
2020-07-21,Nairobi,-1.2921,36.8219,34.5,44.9,17.0,6.7,70.1,98.0,Moderate
2020-07-22,Nairobi,-1.2921,36.8219,37.0,67.6,13.2,5.7,77.9,105.0,Unhealthy for Sensitive Groups
2020-07-23,Nairobi,-1.2921,36.8219,33.0,37.6,9.9,3.5,62.7,95.0,Moderate
2020-07-24,Nairobi,-1.2921,36.8219,39.8,39.8,16.9,6.9,83.7,111.0,Unhealthy for Sensitive Groups
2020-07-25,Nairobi,-1.2921,36.8219,26.7,48.3,21.1,6.6,101.1,82.0,Moderate
2020-07-26,Nairobi,-1.2921,36.8219,18.9,56.3,15.2,3.7,93.7,65.0,Moderate
2020-07-27,Nairobi,-1.2921,36.8219,28.8,53.9,10.1,6.5,90.6,86.0,Moderate
2020-07-28,Nairobi,-1.2921,36.8219,44.3,44.8,21.2,12.0,89.6,123.0,Unhealthy for Sensitive Groups
2020-07-29,Nairobi,-1.2921,36.8219,36.3,46.3,10.2,6.6,84.0,103.0,Unhealthy for Sensitive Groups
2020-07-30,Nairobi,-1.2921,36.8219,31.0,46.0,11.5,7.1,92.9,91.0,Moderate
2020-07-31,Nairobi,-1.2921,36.8219,27.1,56.5,17.6,6.4,84.4,83.0,Moderate
2020-08-01,Nairobi,-1.2921,36.8219,38.4,49.4,11.1,5.1,67.3,108.0,Unhealthy for Sensitive Groups
2020-08-02,Nairobi,-1.2921,36.8219,36.5,51.5,7.0,11.8,77.3,103.0,Unhealthy for Sensitive Groups
2020-08-03,Nairobi,-1.2921,36.8219,34.9,56.8,10.8,4.3,65.5,99.0,Moderate
2020-08-04,Nairobi,-1.2921,36.8219,31.5,55.5,24.3,10.7,50.5,92.0,Moderate
2020-08-05,Nairobi,-1.2921,36.8219,31.7,33.8,19.8,7.4,80.5,92.0,Moderate
2020-08-06,Nairobi,-1.2921,36.8219,31.3,52.6,11.6,8.3,65.7,91.0,Moderate
2020-08-07,Nairobi,-1.2921,36.8219,34.0,54.2,17.4,7.7,95.6,500.0,Hazardous
2020-08-08,Nairobi,-1.2921,36.8219,41.6,41.6,8.7,7.5,73.2,116.0,Unhealthy for Sensitive Groups
2020-08-09,Nairobi,-1.2921,36.8219,34.9,55.8,16.5,3.0,82.9,99.0,Moderate
2020-08-10,Nairobi,-1.2921,36.8219,41.8,56.1,14.7,9.9,67.0,116.0,Unhealthy for Sensitive Groups
2020-08-11,Nairobi,-1.2921,36.8219,34.6,51.8,9.3,8.7,80.7,98.0,Moderate
2020-08-12,Nairobi,-1.2921,36.8219,36.5,53.1,16.0,8.4,82.0,104.0,Unhealthy for Sensitive Groups
2020-08-13,Nairobi,-1.2921,36.8219,38.2,57.7,10.3,7.6,58.9,108.0,Unhealthy for Sensitive Groups
2020-08-14,Nairobi,-1.2921,36.8219,40.0,46.4,11.2,13.5,71.1,112.0,Unhealthy for Sensitive Groups
2020-08-15,Nairobi,-1.2921,36.8219,27.8,57.3,15.0,5.3,85.1,84.0,Moderate
2020-08-16,Nairobi,-1.2921,36.8219,35.6,58.9,16.3,10.7,92.7,101.0,Unhealthy for Sensitive Groups
2020-08-17,Nairobi,-1.2921,36.8219,30.2,65.7,18.3,12.2,77.9,89.0,Moderate
2020-08-18,Nairobi,-1.2921,36.8219,36.7,54.2,19.9,6.7,71.7,500.0,Hazardous
2020-08-19,Nairobi,-1.2921,36.8219,38.7,53.9,19.9,3.8,67.9,109.0,Unhealthy for Sensitive Groups
2020-08-20,Nairobi,-1.2921,36.8219,29.9,62.4,21.3,8.3,87.2,88.0,Moderate
2020-08-21,Nairobi,-1.2921,36.8219,33.3,44.0,15.3,5.3,74.3,96.0,Moderate
2020-08-22,Nairobi,-1.2921,36.8219,31.4,65.2,15.8,6.8,89.2,92.0,Moderate
2020-08-23,Nairobi,-1.2921,36.8219,29.2,73.3,17.2,1.0,67.9,87.0,Moderate
2020-08-24,Nairobi,-1.2921,36.8219,41.5,53.2,12.6,9.2,56.2,116.0,Unhealthy for Sensitive Groups
2020-08-25,Nairobi,-1.2921,36.8219,27.6,40.7,13.2,12.8,89.0,84.0,Moderate
2020-08-26,Nairobi,-1.2921,36.8219,34.9,46.7,18.9,5.7,76.9,99.0,Moderate
2020-08-27,Nairobi,-1.2921,36.8219,36.3,51.4,19.6,7.4,100.4,103.0,Unhealthy for Sensitive Groups
2020-08-28,Nairobi,-1.2921,36.8219,34.6,44.9,12.3,7.3,94.4,98.0,Moderate
2020-08-29,Nairobi,-1.2921,36.8219,41.7,41.7,13.1,11.7,79.2,116.0,Unhealthy for Sensitive Groups
2020-08-30,Nairobi,-1.2921,36.8219,31.7,56.6,8.3,9.8,84.6,92.0,Moderate
2020-08-31,Nairobi,-1.2921,36.8219,33.5,60.6,14.7,8.1,82.7,96.0,Moderate
2020-09-01,Nairobi,-1.2921,36.8219,9.8,40.4,18.0,9.6,85.1,41.0,Good
2020-09-02,Nairobi,-1.2921,36.8219,26.8,33.7,13.9,2.8,60.9,82.0,Moderate
2020-09-03,Nairobi,-1.2921,36.8219,18.5,32.8,12.0,7.3,66.4,64.0,Moderate
2020-09-04,Nairobi,-1.2921,36.8219,24.7,29.7,20.9,7.2,85.4,78.0,Moderate
2020-09-05,Nairobi,-1.2921,36.8219,22.3,33.3,9.5,7.0,48.8,73.0,Moderate
2020-09-06,Nairobi,-1.2921,36.8219,28.2,28.2,19.2,8.3,54.0,85.0,Moderate
2020-09-07,Nairobi,-1.2921,36.8219,21.3,23.1,17.2,7.8,83.4,70.0,Moderate
2020-09-08,Nairobi,-1.2921,36.8219,18.2,42.6,9.9,6.0,77.4,64.0,Moderate
