date,region,latitude,longitude,elevation,temperature_c,rainfall_mm,humidity_percent,wind_speed_kmh,pressure_hpa
2020-01-31,Nairobi,-1.2921,36.8219,1795,19.9,1.02,54.0,9.3,1038.4
2020-02-01,Nairobi,-1.2921,36.8219,1795,17.7,1.37,59.4,7.1,1020.8
2020-02-02,Nairobi,-1.2921,36.8219,1795,15.9,0.78,54.2,7.8,1025.2
2020-02-03,Nairobi,-1.2921,36.8219,1795,18.9,0.01,65.3,7.2,1005.9
2020-02-04,Nairobi,-1.2921,36.8219,1795,22.2,0.63,63.7,8.2,1003.5
2020-02-05,Nairobi,-1.2921,36.8219,1795,17.0,0.82,56.0,8.7,1017.1
2020-02-06,Nairobi,-1.2921,36.8219,1795,20.2,0.06,71.4,4.0,1005.3
2020-02-07,Nairobi,-1.2921,36.8219,1795,20.4,0.6,61.0,6.9,1027.5
2020-02-08,Nairobi,-1.2921,36.8219,1795,18.1,0.13,76.0,4.9,1022.8
2020-02-09,Nairobi,-1.2921,36.8219,1795,18.8,0.12,62.0,6.5,1020.1
2020-02-10,Nairobi,-1.2921,36.8219,1795,19.7,1.99,62.6,6.0,1020.8
2020-02-11,Nairobi,-1.2921,36.8219,1795,20.9,0.23,61.5,7.4,1000.5
2020-02-12,Nairobi,-1.2921,36.8219,1795,19.2,0.51,65.4,7.5,1004.9
2020-02-13,Nairobi,-1.2921,36.8219,1795,21.0,0.81,64.0,9.2,1023.5
2020-02-14,Nairobi,-1.2921,36.8219,1795,16.2,0.99,59.3,7.7,1015.6
2020-02-15,Nairobi,-1.2921,36.8219,1795,19.1,0.42,68.6,8.3,1024.4
2020-02-16,Nairobi,-1.2921,36.8219,1795,21.0,1.32,67.7,4.9,998.0
2020-02-17,Nairobi,-1.2921,36.8219,1795,19.5,0.02,60.4,11.8,994.3
2020-02-18,Nairobi,-1.2921,36.8219,1795,20.6,0.02,56.9,5.5,1009.7
2020-02-19,Nairobi,-1.2921,36.8219,1795,22.4,0.15,65.8,5.8,1015.2
2020-02-20,Nairobi,-1.2921,36.8219,1795,19.4,0.47,62.1,10.0,1021.3
2020-02-21,Nairobi,-1.2921,36.8219,1795,19.4,0.23,67.8,6.0,1021.5
2020-02-22,Nairobi,-1.2921,36.8219,1795,17.8,0.02,65.2,5.8,1029.6
2020-02-23,Nairobi,-1.2921,36.8219,1795,18.8,0.17,64.4,10.9,1017.0
2020-02-24,Nairobi,-1.2921,36.8219,1795,17.0,1.86,70.8,8.2,1029.5
2020-02-25,Nairobi,-1.2921,36.8219,1795,16.9,0.17,75.6,10.0,1005.9
2020-02-26,Nairobi,-1.2921,36.8219,1795,20.5,0.39,70.5,7.5,1003.7
2020-02-27,Nairobi,-1.2921,36.8219,1795,17.1,0.34,66.3,10.8,998.7
2020-02-28,Nairobi,-1.2921,36.8219,1795,18.8,0.28,67.7,7.7,1036.5
2020-02-29,Nairobi,-1.2921,36.8219,1795,20.6,0.11,71.7,8.0,1007.0
2020-03-01,Nairobi,-1.2921,36.8219,1795,19.9,9.63,65.4,3.8,1025.8
2020-03-02,Nairobi,-1.2921,36.8219,1795,18.6,5.58,78.1,7.3,1018.9
2020-03-03,Nairobi,-1.2921,36.8219,1795,20.5,4.15,64.6,9.4,1008.4
2020-03-04,Nairobi,-1.2921,36.8219,1795,18.7,6.39,66.1,9.5,1016.1
2020-03-05,Nairobi,-1.2921,36.8219,1795,21.6,4.66,71.1,8.8,1005.9
2020-03-06,Nairobi,-1.2921,36.8219,1795,16.5,7.0,62.0,8.8,1011.0
2020-03-07,Nairobi,-1.2921,36.8219,1795,19.7,6.78,73.8,6.9,1015.6
2020-03-08,Nairobi,-1.2921,36.8219,1795,20.2,7.5,73.1,9.1,1009.9
2020-03-09,Nairobi,-1.2921,36.8219,1795,20.8,10.02,67.9,11.6,1023.7
2020-03-10,Nairobi,-1.2921,36.8219,1795,16.7,4.8,66.4,10.1,1020.9
2020-03-11,Nairobi,-1.2921,36.8219,1795,21.5,4.19,71.9,6.4,1012.9
2020-03-12,Nairobi,-1.2921,36.8219,1795,16.2,8.37,77.8,6.2,1009.8
2020-03-13,Nairobi,-1.2921,36.8219,1795,21.2,5.93,66.2,7.0,1015.0
2020-03-14,Nairobi,-1.2921,36.8219,1795,21.5,4.17,73.5,5.0,998.9
2020-03-15,Nairobi,-1.2921,36.8219,1795,19.0,7.0,68.2,3.8,1028.7
2020-03-16,Nairobi,-1.2921,36.8219,1795,19.9,5.26,69.3,8.5,1004.7
2020-03-17,Nairobi,-1.2921,36.8219,1795,21.6,10.55,77.1,5.0,1004.6
2020-03-18,Nairobi,-1.2921,36.8219,1795,19.9,10.61,71.8,8.4,1013.1
2020-03-19,Nairobi,-1.2921,36.8219,1795,20.8,10.97,65.7,12.5,1017.1
2020-03-20,Nairobi,-1.2921,36.8219,1795,19.8,5.98,78.9,9.7,1014.8
2020-03-21,Nairobi,-1.2921,36.8219,1795,25.1,4.65,65.6,7.6,999.4
2020-03-22,Nairobi,-1.2921,36.8219,1795,22.8,4.16,60.7,8.6,1031.8
2020-03-23,Nairobi,-1.2921,36.8219,1795,22.7,6.31,66.9,9.5,1027.8
2020-03-24,Nairobi,-1.2921,36.8219,1795,22.3,8.02,69.2,10.3,1008.3
2020-03-25,Nairobi,-1.2921,36.8219,1795,17.5,11.01,76.7,8.5,1015.8
2020-03-26,Nairobi,-1.2921,36.8219,1795,16.0,4.64,65.4,8.0,1013.5
2020-03-27,Nairobi,-1.2921,36.8219,1795,20.1,5.2,73.1,5.3,1018.4
2020-03-28,Nairobi,-1.2921,36.8219,1795,23.1,4.89,77.7,8.7,1005.5
2020-03-29,Nairobi,-1.2921,36.8219,1795,24.2,5.47,70.6,8.3,1024.5
2020-03-30,Nairobi,-1.2921,36.8219,1795,23.1,5.03,70.8,9.3,1026.7
2020-03-31,Nairobi,-1.2921,36.8219,1795,19.2,4.29,73.4,4.5,1027.4
2020-04-01,Nairobi,-1.2921,36.8219,1795,22.9,4.86,69.3,11.0,1013.7
2020-04-02,Nairobi,-1.2921,36.8219,1795,24.5,7.97,63.1,8.0,1021.0
2020-04-03,Nairobi,-1.2921,36.8219,1795,20.7,11.83,61.7,3.9,1012.1
2020-04-04,Nairobi,-1.2921,36.8219,1795,18.7,4.16,73.3,5.8,1017.9
2020-04-05,Nairobi,-1.2921,36.8219,1795,22.8,5.28,68.5,6.0,1018.0
2020-04-06,Nairobi,-1.2921,36.8219,1795,20.3,4.39,65.9,5.1,1011.1
2020-04-07,Nairobi,-1.2921,36.8219,1795,21.5,6.34,58.5,6.6,1015.1
2020-04-08,Nairobi,-1.2921,36.8219,1795,21.2,7.28,68.7,6.5,1018.8
2020-04-09,Nairobi,-1.2921,36.8219,1795,20.3,5.33,63.6,4.9,1026.7
2020-04-10,Nairobi,-1.2921,36.8219,1795,24.8,4.07,68.5,9.7,1003.1
2020-04-11,Nairobi,-1.2921,36.8219,1795,21.5,5.52,74.5,7.7,1003.4
2020-04-12,Nairobi,-1.2921,36.8219,1795,18.3,4.63,70.6,7.6,1012.5
2020-04-13,Nairobi,-1.2921,36.8219,1795,19.4,4.79,66.2,11.3,1021.8
2020-04-14,Nairobi,-1.2921,36.8219,1795,21.6,4.18,76.8,12.7,1023.1
2020-04-15,Nairobi,-1.2921,36.8219,1795,20.7,4.27,77.3,6.2,999.2
2020-04-16,Nairobi,-1.2921,36.8219,1795,23.5,4.88,78.8,7.9,1014.3
2020-04-17,Nairobi,-1.2921,36.8219,1795,20.9,4.33,68.0,6.6,1008.1
2020-04-18,Nairobi,-1.2921,36.8219,1795,20.5,4.38,64.8,2.9,1019.8
2020-04-19,Nairobi,-1.2921,36.8219,1795,22.5,8.01,68.5,6.7,1020.6
2020-04-20,Nairobi,-1.2921,36.8219,1795,22.7,9.3,64.0,11.9,1029.2
2020-04-21,Nairobi,-1.2921,36.8219,1795,23.6,4.41,64.9,6.3,995.0
2020-04-22,Nairobi,-1.2921,36.8219,1795,18.5,4.24,68.9,4.7,1021.0
2020-04-23,Nairobi,-1.2921,36.8219,1795,19.5,5.31,69.8,6.5,1013.5
2020-04-24,Nairobi,-1.2921,36.8219,1795,20.1,4.13,66.4,6.5,1020.6
2020-04-25,Nairobi,-1.2921,36.8219,1795,24.0,5.81,72.1,2.8,1005.0
2020-04-26,Nairobi,-1.2921,36.8219,1795,23.0,7.55,67.1,8.0,1013.9
2020-04-27,Nairobi,-1.2921,36.8219,1795,22.8,7.69,75.8,8.4,1008.9
2020-04-28,Nairobi,-1.2921,36.8219,1795,20.9,4.36,65.6,8.8,1023.3
2020-04-29,Nairobi,-1.2921,36.8219,1795,17.5,8.19,69.4,10.0,1008.9
2020-04-30,Nairobi,-1.2921,36.8219,1795,17.8,5.24,62.4,9.7,1004.6
2020-05-01,Nairobi,-1.2921,36.8219,1795,18.8,8.6,67.3,9.2,990.9
2020-05-02,Nairobi,-1.2921,36.8219,1795,22.4,4.25,70.9,7.9,1018.7
2020-05-03,Nairobi,-1.2921,36.8219,1795,20.2,7.16,64.9,8.8,1035.7
2020-05-04,Nairobi,-1.2921,36.8219,1795,22.3,4.33,68.0,5.3,1004.8
2020-05-05,Nairobi,-1.2921,36.8219,1795,25.0,8.19,68.5,9.6,1007.9
2020-05-06,Nairobi,-1.2921,36.8219,1795,21.4,7.19,61.4,6.6,1007.5
2020-05-07,Nairobi,-1.2921,36.8219,1795,23.9,6.05,71.0,8.2,1031.8
2020-05-08,Nairobi,-1.2921,36.8219,1795,20.4,4.4,59.7,7.7,1021.4
2020-05-09,Nairobi,-1.2921,36.8219,1795,20.2,9.89,54.1,7.9,1001.7
2020-05-10,Nairobi,-1.2921,36.8219,1795,26.9,4.04,66.1,10.9,1018.9
2020-05-11,Nairobi,-1.2921,36.8219,1795,22.4,4.33,67.5,11.1,1026.5
2020-05-12,Nairobi,-1.2921,36.8219,1795,25.2,9.45,62.5,7.1,1020.8
2020-05-13,Nairobi,-1.2921,36.8219,1795,27.1,5.02,67.4,6.9,1008.7
2020-05-14,Nairobi,-1.2921,36.8219,1795,20.0,5.54,56.3,6.7,1019.3
2020-05-15,Nairobi,-1.2921,36.8219,1795,24.6,5.2,60.3,6.6,998.0
2020-05-16,Nairobi,-1.2921,36.8219,1795,21.5,5.38,62.7,8.7,1011.4
2020-05-17,Nairobi,-1.2921,36.8219,1795,24.2,6.0,54.6,6.5,1001.9
2020-05-18,Nairobi,-1.2921,36.8219,1795,27.2,4.14,63.9,5.5,1019.7
2020-05-19,Nairobi,-1.2921,36.8219,1795,21.8,4.42,64.1,6.9,1007.6
2020-05-20,Nairobi,-1.2921,36.8219,1795,20.6,6.99,63.6,9.7,986.4
2020-05-21,Nairobi,-1.2921,36.8219,1795,17.8,5.64,56.6,6.2,1009.3
2020-05-22,Nairobi,-1.2921,36.8219,1795,19.2,6.07,58.7,6.2,1012.3
2020-05-23,Nairobi,-1.2921,36.8219,1795,23.0,6.15,58.4,8.3,1001.7
2020-05-24,Nairobi,-1.2921,36.8219,1795,20.9,6.12,64.5,6.1,1010.7
2020-05-25,Nairobi,-1.2921,36.8219,1795,23.6,7.87,57.1,6.0,1024.6
2020-05-26,Nairobi,-1.2921,36.8219,1795,19.8,4.69,64.6,3.4,1030.6
2020-05-27,Nairobi,-1.2921,36.8219,1795,19.5,4.96,57.1,3.6,1019.1
2020-05-28,Nairobi,-1.2921,36.8219,1795,19.4,5.61,69.7,3.1,1007.6
2020-05-29,Nairobi,-1.2921,36.8219,1795,23.9,7.22,60.5,5.9,1012.4
2020-05-30,Nairobi,-1.2921,36.8219,1795,22.5,6.01,51.8,5.3,1008.8
2020-05-31,Nairobi,-1.2921,36.8219,1795,19.3,4.64,60.5,6.9,1003.2
2020-06-01,Nairobi,-1.2921,36.8219,1795,22.7,0.63,51.2,5.5,1018.3
2020-06-02,Nairobi,-1.2921,36.8219,1795,25.1,0.66,67.3,2.7,1000.2
2020-06-03,Nairobi,-1.2921,36.8219,1795,20.6,0.11,59.2,5.7,1015.0
2020-06-04,Nairobi,-1.2921,36.8219,1795,19.0,0.3,61.7,4.5,999.5
2020-06-05,Nairobi,-1.2921,36.8219,1795,19.9,0.5,63.8,10.4,1010.0
2020-06-06,Nairobi,-1.2921,36.8219,1795,22.0,0.15,59.1,5.1,1014.2
2020-06-07,Nairobi,-1.2921,36.8219,1795,26.9,0.24,57.4,5.5,1015.4
2020-06-08,Nairobi,-1.2921,36.8219,1795,22.1,0.41,55.9,4.9,1031.1
2020-06-09,Nairobi,-1.2921,36.8219,1795,23.2,0.96,54.4,3.9,1022.3
2020-06-10,Nairobi,-1.2921,36.8219,1795,18.2,0.06,62.6,5.9,1019.2
2020-06-11,Nairobi,-1.2921,36.8219,1795,22.1,1.24,49.9,7.6,1019.2
2020-06-12,Nairobi,-1.2921,36.8219,1795,24.3,1.14,61.6,5.8,996.4
2020-06-13,Nairobi,-1.2921,36.8219,1795,22.5,0.12,57.0,7.5,1014.3
2020-06-14,Nairobi,-1.2921,36.8219,1795,22.5,2.13,54.5,5.8,1019.8
2020-06-15,Nairobi,-1.2921,36.8219,1795,21.7,0.23,55.4,3.0,1018.0
2020-06-16,Nairobi,-1.2921,36.8219,1795,19.5,0.77,61.3,5.4,1008.6
2020-06-17,Nairobi,-1.2921,36.8219,1795,24.5,0.23,55.6,7.4,1015.8
2020-06-18,Nairobi,-1.2921,36.8219,1795,18.8,0.01,57.2,5.8,1023.7
2020-06-19,Nairobi,-1.2921,36.8219,1795,20.5,0.39,61.0,7.4,1016.1
2020-06-20,Nairobi,-1.2921,36.8219,1795,18.1,0.8,44.8,4.7,1010.2
2020-06-21,Nairobi,-1.2921,36.8219,1795,18.8,0.21,48.7,1.6,1000.9
2020-06-22,Nairobi,-1.2921,36.8219,1795,19.3,1.8,56.3,7.4,1010.9
2020-06-23,Nairobi,-1.2921,36.8219,1795,21.3,0.57,55.9,7.7,1029.2
2020-06-24,Nairobi,-1.2921,36.8219,1795,18.2,0.12,52.6,4.1,1007.4
2020-06-25,Nairobi,-1.2921,36.8219,1795,20.1,0.04,57.8,4.5,1001.3
2020-06-26,Nairobi,-1.2921,36.8219,1795,22.9,0.1,56.8,4.1,1019.3
2020-06-27,Nairobi,-1.2921,36.8219,1795,21.7,0.54,43.6,3.5,1014.6
2020-06-28,Nairobi,-1.2921,36.8219,1795,20.5,0.08,53.8,5.7,1016.3
2020-06-29,Nairobi,-1.2921,36.8219,1795,22.5,0.05,60.6,1.6,1000.4
2020-06-30,Nairobi,-1.2921,36.8219,1795,22.9,0.41,45.4,4.0,1015.2
2020-07-01,Nairobi,-1.2921,36.8219,1795,21.1,0.39,55.8,7.4,1016.4
2020-07-02,Nairobi,-1.2921,36.8219,1795,23.7,0.5,43.8,6.1,1009.4
2020-07-03,Nairobi,-1.2921,36.8219,1795,22.2,1.14,54.7,5.7,1020.2
2020-07-04,Nairobi,-1.2921,36.8219,1795,22.0,0.68,53.1,7.6,1019.5
2020-07-05,Nairobi,-1.2921,36.8219,1795,20.6,0.24,49.2,3.4,1017.9
2020-07-06,Nairobi,-1.2921,36.8219,1795,21.8,0.42,50.1,5.1,1013.5
2020-07-07,Nairobi,-1.2921,36.8219,1795,18.2,0.6,51.5,7.7,1015.1
2020-07-08,Nairobi,-1.2921,36.8219,1795,21.4,0.47,45.4,4.4,1015.8
2020-07-09,Nairobi,-1.2921,36.8219,1795,22.0,0.06,48.0,4.9,1017.1
2020-07-10,Nairobi,-1.2921,36.8219,1795,20.4,0.74,44.7,4.8,1006.0
2020-07-11,Nairobi,-1.2921,36.8219,1795,23.1,0.03,38.8,5.2,1007.7
2020-07-12,Nairobi,-1.2921,36.8219,1795,20.4,0.88,35.9,3.3,1031.8
2020-07-13,Nairobi,-1.2921,36.8219,1795,17.7,0.11,34.7,5.7,1022.9
2020-07-14,Nairobi,-1.2921,36.8219,1795,22.8,0.19,51.9,5.6,1012.0
2020-07-15,Nairobi,-1.2921,36.8219,1795,24.2,0.3,39.7,6.1,1010.9
2020-07-16,Nairobi,-1.2921,36.8219,1795,19.1,0.02,41.4,1.7,1027.4
2020-07-17,Nairobi,-1.2921,36.8219,1795,20.3,2.07,50.0,4.7,1010.7
2020-07-18,Nairobi,-1.2921,36.8219,1795,21.8,1.12,47.7,5.4,1026.3
2020-07-19,Nairobi,-1.2921,36.8219,1795,20.8,0.96,47.3,2.0,1012.5
2020-07-20,Nairobi,-1.2921,36.8219,1795,21.1,0.34,39.6,3.9,998.7
2020-07-21,Nairobi,-1.2921,36.8219,1795,20.5,0.19,39.7,2.7,1023.0
2020-07-22,Nairobi,-1.2921,36.8219,1795,19.7,0.05,42.6,3.0,988.8
2020-07-23,Nairobi,-1.2921,36.8219,1795,17.0,0.71,46.2,4.6,1017.8
2020-07-24,Nairobi,-1.2921,36.8219,1795,20.1,0.07,39.3,3.8,1001.4
2020-07-25,Nairobi,-1.2921,36.8219,1795,23.1,0.49,46.2,2.0,1013.4
2020-07-26,Nairobi,-1.2921,36.8219,1795,19.5,0.05,41.1,1.7,1010.2
2020-07-27,Nairobi,-1.2921,36.8219,1795,23.6,0.97,44.4,2.7,1008.6
2020-07-28,Nairobi,-1.2921,36.8219,1795,20.5,0.74,36.9,3.8,1006.5
2020-07-29,Nairobi,-1.2921,36.8219,1795,21.3,0.75,42.5,2.4,1023.9
2020-07-30,Nairobi,-1.2921,36.8219,1795,20.1,1.02,45.0,7.7,1006.1
2020-07-31,Nairobi,-1.2921,36.8219,1795,23.3,0.05,41.0,1.4,1007.7
2020-08-01,Nairobi,-1.2921,36.8219,1795,21.0,0.41,45.3,6.9,1017.4
2020-08-02,Nairobi,-1.2921,36.8219,1795,19.8,0.13,40.0,2.4,1015.1
2020-08-03,Nairobi,-1.2921,36.8219,1795,21.8,0.78,38.5,2.4,1028.7
2020-08-04,Nairobi,-1.2921,36.8219,1795,17.1,2.64,31.5,0.2,1033.0
2020-08-05,Nairobi,-1.2921,36.8219,1795,19.3,1.24,47.4,2.9,1021.8
2020-08-06,Nairobi,-1.2921,36.8219,1795,20.8,1.46,30.4,4.3,1000.5
2020-08-07,Nairobi,-1.2921,36.8219,1795,22.2,0.08,41.9,4.2,1015.6
2020-08-08,Nairobi,-1.2921,36.8219,1795,18.3,2.13,34.3,3.8,1010.1
2020-08-09,Nairobi,-1.2921,36.8219,1795,16.0,1.23,37.2,4.7,984.5
2020-08-10,Nairobi,-1.2921,36.8219,1795,21.6,0.11,28.5,3.8,1012.1
2020-08-11,Nairobi,-1.2921,36.8219,1795,20.8,0.24,30.7,2.1,1016.5
2020-08-12,Nairobi,-1.2921,36.8219,1795,19.1,0.16,39.0,0.0,1015.5
2020-08-13,Nairobi,-1.2921,36.8219,1795,18.6,0.17,42.6,6.0,1021.5
2020-08-14,Nairobi,-1.2921,36.8219,1795,18.4,0.02,34.4,4.6,1025.2
2020-08-15,Nairobi,-1.2921,36.8219,1795,21.5,0.98,35.4,4.9,1015.4
2020-08-16,Nairobi,-1.2921,36.8219,1795,18.5,0.19,34.7,2.9,1006.1
2020-08-17,Nairobi,-1.2921,36.8219,1795,18.7,1.63,30.2,3.0,993.0
2020-08-18,Nairobi,-1.2921,36.8219,1795,20.7,0.36,36.9,0.0,1042.4
2020-08-19,Nairobi,-1.2921,36.8219,1795,17.1,0.02,37.0,5.0,1002.6
2020-08-20,Nairobi,-1.2921,36.8219,1795,20.0,2.1,29.5,3.3,1006.5
2020-08-21,Nairobi,-1.2921,36.8219,1795,20.9,0.12,33.7,4.4,1018.0
2020-08-22,Nairobi,-1.2921,36.8219,1795,19.0,0.41,36.1,4.6,1016.1
2020-08-23,Nairobi,-1.2921,36.8219,1795,17.7,1.6,34.4,4.8,1024.9
2020-08-24,Nairobi,-1.2921,36.8219,1795,19.8,0.3,28.2,1.0,1016.0
2020-08-25,Nairobi,-1.2921,36.8219,1795,20.5,0.92,32.4,5.8,1017.5
2020-08-26,Nairobi,-1.2921,36.8219,1795,18.0,0.24,38.3,4.6,1018.7
2020-08-27,Nairobi,-1.2921,36.8219,1795,19.9,0.34,36.5,2.2,1014.3
2020-08-28,Nairobi,-1.2921,36.8219,1795,18.0,0.24,33.2,0.0,996.6
2020-08-29,Nairobi,-1.2921,36.8219,1795,16.5,0.36,40.7,1.2,999.8
2020-08-30,Nairobi,-1.2921,36.8219,1795,21.5,0.58,37.8,0.0,1006.2
2020-08-31,Nairobi,-1.2921,36.8219,1795,18.3,0.39,38.2,0.0,996.5
2020-09-01,Nairobi,-1.2921,36.8219,1795,20.2,0.56,44.6,3.7,1018.8
2020-09-02,Nairobi,-1.2921,36.8219,1795,17.6,1.57,34.2,0.8,1010.2
2020-09-03,Nairobi,-1.2921,36.8219,1795,14.7,0.2,31.6,4.3,1006.8
2020-09-04,Nairobi,-1.2921,36.8219,1795,14.2,0.57,33.9,0.3,1022.4
2020-09-05,Nairobi,-1.2921,36.8219,1795,16.0,0.12,30.7,0.3,1018.5
2020-09-06,Nairobi,-1.2921,36.8219,1795,21.6,0.07,32.8,0.0,1017.4
2020-09-07,Nairobi,-1.2921,36.8219,1795,17.8,0.98,34.3,1.1,1013.6
2020-09-08,Nairobi,-1.2921,36.8219,1795,18.8,0.55,32.1,2.3,1013.4
2020-09-09,Nairobi,-1.2921,36.8219,1795,16.4,0.57,27.9,4.5,1010.0
2020-09-10,Nairobi,-1.2921,36.8219,1795,17.2,0.16,34.9,0.7,1021.9
2020-09-11,Nairobi,-1.2921,36.8219,1795,17.1,0.66,37.3,2.6,1005.2
2020-09-12,Nairobi,-1.2921,36.8219,1795,22.1,0.11,24.7,3.4,1017.1
2020-09-13,Nairobi,-1.2921,36.8219,1795,17.2,0.01,30.2,4.6,1029.2
2020-09-14,Nairobi,-1.2921,36.8219,1795,14.5,0.3,32.1,1.9,1038.8
2020-09-15,Nairobi,-1.2921,36.8219,1795,15.9,0.34,38.8,4.0,1024.0
2020-09-16,Nairobi,-1.2921,36.8219,1795,18.1,0.52,27.9,1.3,1011.0
2020-09-17,Nairobi,-1.2921,36.8219,1795,16.2,0.15,25.4,0.9,1011.0
2020-09-18,Nairobi,-1.2921,36.8219,1795,15.8,0.97,30.6,2.5,997.4
2020-09-19,Nairobi,-1.2921,36.8219,1795,18.0,0.46,34.5,0.0,1000.7
2020-09-20,Nairobi,-1.2921,36.8219,1795,18.7,0.79,40.0,0.6,1012.4
2020-09-21,Nairobi,-1.2921,36.8219,1795,18.4,0.12,30.6,0.1,1019.3
2020-09-22,Nairobi,-1.2921,36.8219,1795,15.4,0.36,30.6,0.6,1025.4
2020-09-23,Nairobi,-1.2921,36.8219,1795,19.3,1.57,33.2,1.0,998.9
2020-09-24,Nairobi,-1.2921,36.8219,1795,17.3,1.11,34.0,6.7,1016.9
2020-09-25,Nairobi,-1.2921,36.8219,1795,17.5,0.08,28.5,3.0,1018.8
2020-09-26,Nairobi,-1.2921,36.8219,1795,14.9,0.27,25.6,0.0,1018.1
2020-09-27,Nairobi,-1.2921,36.8219,1795,14.8,0.55,19.3,3.7,1013.3
2020-09-28,Nairobi,-1.2921,36.8219,1795,17.5,1.14,30.0,2.2,1012.0
2020-09-29,Nairobi,-1.2921,36.8219,1795,18.8,1.22,28.6,3.1,1019.0
2020-09-30,Nairobi,-1.2921,36.8219,1795,15.9,0.31,28.8,3.1,1004.0
2020-10-01,Nairobi,-1.2921,36.8219,1795,16.9,6.05,30.0,1.6,1015.0
2020-10-02,Nairobi,-1.2921,36.8219,1795,21.7,6.89,28.5,2.0,999.9
2020-10-03,Nairobi,-1.2921,36.8219,1795,14.6,4.92,28.5,3.0,1013.5
2020-10-04,Nairobi,-1.2921,36.8219,1795,13.1,5.41,26.8,0.1,1011.6
2020-10-05,Nairobi,-1.2921,36.8219,1795,14.3,5.93,33.1,0.1,1017.2
2020-10-06,Nairobi,-1.2921,36.8219,1795,15.3,14.54,29.8,2.3,1009.6
2020-10-07,Nairobi,-1.2921,36.8219,1795,15.4,6.36,28.6,2.1,1005.7
2020-10-08,Nairobi,-1.2921,36.8219,1795,13.5,5.96,34.8,0.0,1022.3
2020-10-09,Nairobi,-1.2921,36.8219,1795,13.9,4.92,29.1,4.5,1009.8
2020-10-10,Nairobi,-1.2921,36.8219,1795,18.3,4.02,34.1,0.9,987.1
2020-10-11,Nairobi,-1.2921,36.8219,1795,15.4,5.53,32.3,0.1,1012.7
2020-10-12,Nairobi,-1.2921,36.8219,1795,12.6,7.72,40.7,2.0,1003.7
2020-10-13,Nairobi,-1.2921,36.8219,1795,15.6,6.67,26.1,0.0,1008.6
2020-10-14,Nairobi,-1.2921,36.8219,1795,14.7,7.07,19.2,0.8,1023.4
2020-10-15,Nairobi,-1.2921,36.8219,1795,15.2,4.59,39.8,1.9,1022.2
